review,sentiment
"One of the best movies I have ever seen. The acting was superb and the story kept me hooked till the end. Highly recommended!",positive
"This movie was an absolute waste of time. Poor plot, bad acting, and it felt like it would never end. Don't watch it.",negative
"A masterpiece! Brilliant direction, emotional depth, and unforgettable characters. I watched it twice in one week.",positive
"Terrible script and annoying characters. I regret spending money on this. Save your time and skip it.",negative
"The cinematography was stunning and the performances were top notch. Definitely worth watching.",positive
"Boring from the first minute. Predictable plot and weak dialogues. Not recommended.",negative
"What an incredible journey! The soundtrack and visuals were breathtaking.",positive
"I fell asleep halfway. Worst movie in years.",negative
"Heartwarming story with excellent cast. A must watch for the whole family.",positive
"Overhyped and underwhelming. Expected much more from the director.",negative
